distance_from_food_x,distance_from_food_y,action
-0.088,-0.022,RIGHT
-0.078,-0.022,RIGHT
-0.068,-0.022,RIGHT
-0.058,-0.022,RIGHT
-0.048,-0.022,RIGHT
-0.048,-0.012,DOWN
-0.038,-0.012,RIGHT
-0.028,-0.012,RIGHT
0.322,0.202,RIGHT
0.322,0.192,UP
0.322,0.182,UP
0.322,0.172,UP
0.322,0.162,UP
0.322,0.152,UP
0.322,0.142,UP
0.322,0.132,UP
0.322,0.122,UP
0.322,0.112,UP
0.322,0.102,UP
0.322,0.092,UP
0.322,0.082,UP
0.322,0.072,UP
0.322,0.062,UP
0.322,0.052,UP
0.322,0.042,UP
0.322,0.032,UP
0.322,0.022,UP
0.312,0.022,LEFT
0.302,0.022,LEFT
0.292,0.022,LEFT
0.282,0.022,LEFT
0.272,0.022,LEFT
0.262,0.022,LEFT
0.252,0.022,LEFT
0.242,0.022,LEFT
0.232,0.022,LEFT
0.222,0.022,LEFT
0.212,0.022,LEFT
0.202,0.022,LEFT
0.192,0.022,LEFT
0.182,0.022,LEFT
0.172,0.022,LEFT
0.162,0.022,LEFT
0.152,0.022,LEFT
0.142,0.022,LEFT
0.132,0.022,LEFT
0.122,0.022,LEFT
0.112,0.022,LEFT
0.102,0.022,LEFT
0.092,0.022,LEFT
0.082,0.022,LEFT
0.072,0.022,LEFT
0.062,0.022,LEFT
0.052,0.022,LEFT
0.042,0.022,LEFT
0.032,0.022,LEFT
0.022,0.022,LEFT
0.034,-0.138,LEFT
0.034,-0.128,DOWN
0.034,-0.118,DOWN
0.034,-0.108,DOWN
0.034,-0.098,DOWN
0.034,-0.088,DOWN
0.034,-0.078,DOWN
0.034,-0.068,DOWN
0.034,-0.058,DOWN
0.034,-0.048,DOWN
0.034,-0.038,DOWN
0.034,-0.028,DOWN
0.034,-0.018,DOWN
0.034,-0.008,DOWN
0.024,-0.008,LEFT
-0.43,-0.056,LEFT
-0.43,-0.046,DOWN
-0.43,-0.036,DOWN
-0.43,-0.026,DOWN
-0.43,-0.016,DOWN
-0.43,-0.006,DOWN
-0.42,-0.006,RIGHT
-0.41,-0.006,RIGHT
-0.4,-0.006,RIGHT
-0.39,-0.006,RIGHT
-0.38,-0.006,RIGHT
-0.37,-0.006,RIGHT
-0.36,-0.006,RIGHT
-0.35,-0.006,RIGHT
